Problem,Hunter(hkroger),Snehal,Emma(eschare)
397,6,10,9
398,8,2,2
399,9,9,9
400,3,10,3
401,3,3,3
402,5,5,5
403,7,7,7
404,3,3,3
405,3,3,3
406,3,3,3
407,6,6,6
408,3,6,3
409,3,3,3
410,6,2,7
411,6,6,1
412,10,9,9
413,3,3,3
414,7,7,7
415,6,6,6
416,3,3,3
417,10,10,10
418,5,1,5
419,9,9,9
420,2,5,2
421,6,6,6
422,3,3,6
423,6,6,6
424,5,5,5
425,1,6,10
426,6,6,6
427,5,5,5
428,6,6,6
429,6,10,1
430,6,6,6
431,9,2,1
432,3,7,3
433,7,7,7
434,10,9,10
435,9,5,9
436,6,6,6
437,2,2,2
438,1,5,1
439,9,2,8
440,9,9,9
441,6,6,10
442,6,6,6
443,8,6,8
444,7,7,7
445,6,6,6
446,5,5,5
447,6,6,7
448,2,2,2
449,6,6,6
450,7,6,6
451,10,10,10
452,3,3,3
453,6,6,6
454,7,7,7
455,7,10,7
456,6,6,6
457,8,9,10
458,6,2,6
459,8,5,5
460,7,7,7
461,10,10,10
462,9,9,9
463,6,2,2
464,9,9,9
465,7,7,2
466,5,5,5
467,6,6,6
468,6,8,6
469,2,2,9
470,7,7,7
471,11,11,11
472,6,10,10
473,6,6,6
474,6,6,1
475,6,6,6
476,2,2,2
477,5,5,5
478,6,6,6
479,8,8,8
480,2,2,1
481,9,9,9
482,7,7,7
483,6,2,9
484,6,6,6
485,5,5,5
486,10,6,10
487,6,6,6
488,6,6,6
489,9,9,9
490,9,9,7
491,9,9,6
492,3,3,3
493,2,1,10
494,6,6,6
495,5,5,5
496,2,2,2
497,6,10,7
498,6,8,6
499,9,9,9
500,3,3,3
501,9,9,9
502,9,9,9
503,5,5,2
504,9,9,9
505,6,6,6
506,6,1,1
507,2,2,6
508,6,6,6
509,6,1,6
510,6,6,6
511,3,10,3
512,9,9,6
513,6,6,6
514,2,2,1
515,9,1,6
516,9,10,10
517,7,7,7
518,6,2,6
519,6,2,6
520,10,6,6
521,6,6,6
522,6,8,2
523,9,9,9
524,6,4,6
525,9,5,5
526,10,6,10
527,3,3,3
528,4,4,6
529,7,7,7
530,6,6,6
531,3,3,3
532,3,3,3
533,5,5,5
534,6,6,6
535,3,3,3
536,9,9,9
537,6,1,6
538,6,6,6
539,3,3,3
540,3,3,3
541,9,9,1
542,6,6,6
543,7,7,7
544,9,2,2
545,7,7,7
546,9,9,9
547,10,10,10
548,1,1,1
549,3,2,3
550,6,6,6
551,11,11,11
552,9,9,9
553,10,10,9
554,2,9,7
555,5,5,5
556,6,6,1
557,6,10,6
558,6,6,6
559,9,9,9
560,3,10,2
561,3,3,3
562,6,6,7
563,6,10,10
564,6,6,6
565,9,6,6
566,3,3,3
567,9,6,5
568,2,2,2
569,1,1,2
570,6,6,6
571,8,8,8
572,6,6,6
573,10,10,10
574,1,6,1
575,6,6,10
576,10,10,10
577,10,10,6
