Soltuion,Hunter(hkroger),Snehal,Emma(eschare)
816.2,3,3,6
817.1,3,6,3
817.2,3,3,3
817.3,2,2,2
817.4,2,3,5
818.1,1,3,3
819.1,2,3,2
819.2,2,3,3
819.3,5,3,6
819.4,3,3,6
820.1,2,2,2
820.2,5,5,5
821.1,1,8,1
821.2,2,1,2
822.1,3,3,1
822.2,8,3,8
822.3,8,3,5
823.1,2,3,3
824.1,8,6,5
824.2,3,3,3
825.1,8,6,6
825.2,2,8,8
826.1,3,3,3
828.1,2,4,2
829.1,3,3,3
829.2,2,2,2
830.1,2,3,1
830.2,3,3,3
831.1,3,3,3
831.2,2,7,7
832.1,2,3,5
832.2,1,1,1
833.1,3,3,2
833.2,5,3,3
833.3,3,3,8
834.1,3,3,6
835.1,3,3,3
836.1,2,3,3
836.2,3,3,3
837.1,2,5,5
837.2,3,3,1
838.1,2,2,2
838.2,8,3,5
839.1,2,2,2
840.1,2,2,2
840.2,3,3,3
840.3,2,5,5
841.1,3,5,3
841.2,5,3,5
841.3,2,3,2
842.1,3,3,9
842.2,9,3,9
843.1,3,3,5
843.2,5,5,5
844.1,2,7,2
844.2,5,6,5
844.3,3,3,7
845.1,2,2,2
845.2,3,2,2
845.3,3,3,2
846.1,2,2,2
846.2,2,2,2
847.1,2,2,2
847.2,8,8,8
847.3,3,3,3
848.1,3,3,3
848.2,3,3,3
848.3,3,3,5
849.1,3,3,5
850.1,3,3,1
850.2,3,3,5
851.1,5,6,1
851.2,3,3,6
851.3,1,1,1
853.1,2,2,2
853.2,3,3,3
854.1,5,5,5
854.2,3,3,1
855.1,3,3,5
857.1,3,3,3
857.2,3,6,5
857.3,4,4,2
858.1,2,2,2
858.2,7,3,7
859.1,3,6,5
859.2,3,3,3
859.3,3,3,3
860.1,5,5,5
860.2,2,2,3
860.3,3,3,2
861.1,8,3,5
861.2,8,8,6
862.1,3,3,5
863.1,5,6,6
864.1,3,8,8
864.2,2,2,3
865.1,5,3,5
865.2,5,6,5
866.1,5,3,4
866.2,3,8,3
867.1,8,3,3
867.2,3,6,6
868.1,4,4,3
868.2,3,3,5
869.1,3,3,3
869.2,3,3,3
869.3,2,3,2
869.4,3,3,2
870.1,3,2,2
870.2,3,8,6
871.1,3,3,3
871.2,5,3,5
871.3,6,5,6
872.1,2,3,2
872.2,8,3,5
872.3,3,3,3
872.4,1,3,1
873.1,3,3,6
873.2,3,3,3
873.3,2,2,2
874.1,5,3,6
874.2,3,3,3
875.1,3,3,5
875.2,3,5,2
876.1,3,7,7
876.2,7,7,6
877.1,2,3,3
877.2,1,3,4
877.3,3,3,5
878.1,2,3,3
878.2,3,3,2
878.3,2,2,2
879.1,3,3,1
879.2,3,3,5
879.3,1,1,1
880.1,2,8,8
880.2,3,3,3
880.3,3,3,5
881.1,3,3,5
881.2,5,3,6
882.1,8,3,1
882.2,3,3,5
883.1,3,3,3
884.1,2,4,4
884.2,1,1,1
884.3,2,2,2
884.4,3,6,5
885.1,5,6,5
885.2,5,6,6
886.1,3,3,3
886.2,5,6,2
886.3,3,3,3
887.1,3,3,8
887.2,2,3,1
889.1,3,3,5
890.1,3,9,3
890.2,3,3,3
891.1,9,3,5
891.2,2,2,2
892.1,2,2,2
892.2,3,3,8
893.1,2,4,2
893.2,4,3,9
893.3,3,3,4
894.1,3,7,3
894.2,2,8,2
894.3,3,3,5
895.1,3,3,3
895.2,3,3,3
895.3,3,3,3
895.4,2,3,4
895.5,1,3,1
896.1,2,3,2
896.2,2,3,5
897.1,3,4,3
897.2,8,4,3
897.3,5,3,5
898.1,3,3,2
898.2,3,3,5
898.3,3,2,5
899.1,2,1,1
899.2,2,3,5
900.1,2,2,2
900.2,9,3,9
901.1,2,2,2
901.2,2,3,5
902.1,3,3,3
902.2,3,3,3
902.3,3,3,5
902.4,2,2,2
902.5,3,3,3
903.1,3,3,3
903.2,2,3,2
903.3,3,3,6
904.1,2,2,2
905.1,3,3,3
905.2,3,3,3
905.3,2,3,2
906.1,3,3,8
906.2,8,3,6
907.1,3,3,1
907.2,5,3,1
908.1,3,3,4
908.2,5,6,3
909.1,1,3,1
909.2,1,1,1
910.1,3,3,8
910.2,3,8,8
910.3,3,3,3
910.4,3,3,5
911.1,2,2,2
911.2,5,3,5
912.1,3,3,3
912.2,5,3,5
912.3,5,3,6
913.1,3,3,2
913.2,5,6,5
914.1,5,6,6
914.2,3,3,1
915.1,2,3,2
915.2,3,3,6
916.1,3,3,4
916.2,5,6,5
916.3,3,3,3
917.1,3,3,3
917.2,3,6,6
918.1,5,3,5
918.2,5,6,5
919.1,3,3,6
919.2,3,3,6
919.3,2,2,2
919.4,3,3,3
920.1,2,2,2
920.2,5,6,6
920.3,4,3,3
921.1,5,2,2
921.2,3,3,3
921.3,2,2,2
921.4,2,2,2
922.1,3,3,3
922.2,3,3,3
922.3,8,8,8
923.1,3,3,3
923.2,5,5,6
924.1,3,3,5
924.2,3,3,2
924.3,2,3,2
925.1,1,3,5
925.2,1,1,1
926.1,5,5,5
926.2,2,3,3
927.1,3,7,7
927.2,2,2,2
927.3,7,3,2
928.1,1,3,1
928.2,1,3,1
928.3,3,3,3
929.1,5,6,5
929.2,3,3,3
930.1,5,3,5
930.2,8,3,8
931.1,5,5,5
931.2,1,1,1
932.1,6,3,6
933.1,3,3,6
933.2,5,6,5
933.3,3,3,4
933.4,2,6,5
934.1,3,3,6
934.2,5,6,6
934.3,2,6,5
935.1,5,3,3
935.2,5,6,5
935.3,2,2,2
936.1,4,4,3
936.2,5,6,3
936.3,8,2,8
937.1,3,3,3
937.2,3,3,3
937.3,5,3,5
937.4,3,3,3
937.5,1,3,1
938.1,5,6,5
938.2,3,3,3
938.3,5,6,6
938.4,3,3,3
938.5,3,3,2
939.1,3,3,6
939.2,3,3,3
940.1,3,3,2
940.2,5,3,5
941.1,5,3,5
941.2,2,3,5
942.1,2,2,2
942.2,2,2,2
942.3,2,2,2
943.1,5,5,5
943.2,7,3,3
944.1,7,3,3
944.2,7,3,7
944.3,7,3,7
944.4,2,3,3
944.5,3,3,3
945.1,3,3,3
945.2,3,3,3
945.3,4,3,1
945.4,2,2,3
945.5,1,5,1
946.1,4,4,2
946.2,4,2,2
946.3,5,6,5
947.1,3,4,4
947.2,3,4,3
947.3,5,6,6
948.1,3,3,3
948.2,4,3,2
948.3,3,3,3
949.1,1,1,1
949.2,2,3,2
950.1,8,8,8
950.2,1,3,1
951.1,5,3,3
951.2,2,3,5
952.1,2,2,2
953.1,1,3,1
953.2,3,1,1
954.1,1,3,1
954.2,2,3,2
955.1,3,3,8
955.2,3,3,1
956.1,3,3,8
956.2,3,3,3
957.1,3,3,3
957.2,3,3,3
957.3,3,3,2
958.1,2,2,2
958.2,5,3,6
959.1,1,3,1
959.2,5,3,5
960.1,3,3,5
960.2,1,3,1
961.1,3,3,3
961.2,3,3,3
962.1,3,3,3
962.2,3,3,3
962.3,2,2,3
962.4,3,3,3
962.5,3,3,3
964.1,2,2,2
964.2,1,3,1
964.3,3,3,3
964.4,7,4,4
964.5,5,3,7
965.1,4,3,3
965.2,4,4,9
965.3,4,3,3
965.4,3,3,2
966.1,8,3,3
966.2,3,3,3
966.3,5,3,5
967.1,3,3,3
967.2,2,2,2
967.3,3,3,3
968.1,3,3,3
968.2,3,3,8
968.3,3,3,6
969.1,2,1,1
969.2,2,2,2
970.1,4,3,3
970.2,1,3,1
970.3,5,3,6
971.1,1,3,1
971.2,1,3,1
972.1,4,3,2
972.2,3,3,5
973.1,5,3,5
973.2,1,3,1
974.1,3,3,5
974.2,1,3,1
975.1,3,3,1
976.1,2,3,1
976.2,3,3,8
976.3,3,3,4
977.1,3,3,6
977.2,2,2,2
978.1,1,3,1
978.2,5,3,5
979.1,1,3,1
979.2,3,3,1
980.1,3,3,5
980.2,2,2,2
981.1,3,3,3
981.2,3,3,3
981.3,3,3,1
981.4,2,3,8
982.1,2,2,2
983.1,7,4,4
983.2,3,3,6
984.1,3,3,2
984.2,5,3,5
985.1,3,3,8
985.2,4,3,2
986.1,4,4,4
986.2,4,4,4
986.3,3,3,5
987.1,3,3,3
987.2,3,3,5
987.3,3,3,3
988.1,1,3,2
988.2,2,3,2
989.1,3,3,2
989.2,8,8,8
989.3,3,3,8
990.1,3,3,3
990.2,3,3,4
990.3,3,3,3
990.4,3,3,3
991.1,7,7,7
992.1,5,6,5
992.2,2,2,2
994.1,3,3,5
994.2,3,3,2
995.1,5,5,5
995.2,5,3,2
995.3,5,5,5
996.1,3,3,2
996.2,2,2,2
996.3,3,3,2
997.1,2,2,2
998.1,3,5,3
998.2,1,3,1
999.1,7,7,1
999.2,1,3,1
999.3,3,3,3
999.4,3,5,5
1000.1,3,3,3
1000.2,2,2,2
1001.1,3,3,3
1001.2,2,3,3
1001.3,3,3,5
1002.1,5,3,3
1002.2,5,3,5
1003.1,8,8,8
1003.2,8,8,8
1004.1,3,3,5
1004.2,1,3,1
1005.1,2,3,3
1005.2,3,4,6
1005.3,3,3,6
1006.1,5,3,6
1006.2,2,4,2
1007.1,3,2,2
1007.2,2,2,2
1008.1,3,3,5
1009.1,1,3,1
1009.2,3,3,3
1010.1,1,3,1
1010.2,1,2,1
1011.1,2,2,2
1011.2,3,3,9
1012.1,3,3,2
1012.2,5,6,5
1013.1,8,8,8
1013.2,3,3,3
1014.1,2,3,2
1015.1,5,3,5
1015.2,1,3,1
1015.3,3,3,3
1015.4,1,1,1
1016.1,3,3,9
1016.2,5,5,5
1017.1,5,3,5
1017.2,3,3,3
1018.1,4,4,4
1018.2,5,3,5
1019.1,2,3,3
1019.2,5,3,6
1021.1,3,3,1
1021.2,3,3,2
1023.1,1,1,1
1023.2,3,3,3
1024.1,5,3,5
1024.2,5,3,3
1025.1,3,3,3
1026.1,5,3,6
1026.2,3,3,1
1027.1,3,3,3
1027.2,3,3,3
1027.3,3,3,3
1027.4,3,3,3
1027.5,5,3,5
1028.1,3,3,3
1028.2,3,3,3
1028.3,3,3,3
1028.4,3,3,3
1028.5,3,3,3
1028.6,2,3,5
1028.7,3,3,3
1028.8,3,3,3
1029.1,1,3,1
1029.2,3,3,7
1030.1,5,5,5
1030.2,5,5,5
1031.1,3,3,3
1031.2,3,3,3
1031.3,3,3,3
1031.4,3,3,3
1031.5,3,3,3
1032.1,3,3,5
1032.2,8,8,8
1033.1,5,6,5
1034.1,3,3,5
1034.2,4,4,4
1035.1,1,3,7
1035.2,3,3,3
1036.1,3,3,5
1036.2,1,3,1
1037.1,1,3,5
1037.2,3,3,6
1038.1,3,3,3
1038.2,3,7,2
1038.3,3,3,6
1038.4,3,5,5
1039.1,2,3,3
1039.2,2,3,2
1040.1,3,3,5
1040.2,1,3,1
1041.1,5,5,5
1041.2,5,3,5
1041.3,5,3,5
1042.1,3,3,4
1042.2,5,5,5
1042.3,3,9,9
1043.1,3,3,3
1043.2,3,3,3
1043.3,3,3,3
1043.4,3,3,3
1043.5,3,3,3
1043.6,3,3,3
1044.1,5,5,5
1044.2,2,2,2
1045.1,3,3,3
1045.2,5,5,3
1046.1,1,3,1
1046.2,5,3,6
1047.1,1,3,3
1047.2,5,3,5
1048.1,8,3,3
1048.2,8,8,8
1049.1,1,3,1
1049.2,5,5,5
1050.1,3,3,3
1050.2,3,3,3
1050.3,3,3,3
1051.1,3,3,3
1052.1,6,6,6
1052.2,3,3,3
1052.3,3,3,2
1052.4,3,3,5
1053.1,3,3,5
1053.2,2,3,3
1053.3,5,5,5
1054.1,3,5,1
1054.2,5,5,5
1054.3,5,5,5
1054.4,3,3,3
1054.5,5,5,5
1055.1,2,3,4
1055.2,5,3,3
1056.1,1,3,8
1056.2,3,3,3
1057.1,2,2,2
1057.2,3,3,3
1058.1,5,5,5
1058.2,1,3,1
1059.1,5,3,5
1059.2,2,3,3
1060.1,2,3,3
1060.2,3,3,3
1061.1,6,6,6
1062.1,3,3,3
1062.2,2,2,2
1063.1,3,3,4
1063.2,3,3,3
1063.3,3,3,3
1064.1,3,8,3
1064.2,5,3,3
1064.3,3,3,3
1064.4,3,3,3
1065.1,2,3,3
1066.1,3,3,3
1066.2,2,3,2
1067.1,5,5,6
1067.2,3,4,3
1068.1,2,2,2
1069.1,5,3,3
1069.2,1,3,1
1070.1,5,6,5
1070.2,2,4,3
1071.1,5,3,3
1071.2,5,3,3
1071.3,5,5,3
1072.1,1,4,3
1072.2,7,4,3
1073.1,3,3,5
1073.2,3,3,3
1073.3,2,4,2
1073.4,3,3,3
1074.1,3,3,3
1074.2,3,3,8
1075.1,1,3,1
1076.1,3,3,6
1076.2,1,3,1
1077.1,1,3,7
1078.1,5,3,6
1078.2,4,4,4
1079.1,3,3,3
1079.2,1,3,2
1080.1,2,3,3
1080.2,2,3,2
1080.3,2,3,2
1080.4,2,3,2
1081.1,3,3,3
1081.2,1,1,1
1082.1,2,3,2
1083.1,1,7,1
1083.2,5,5,5
1084.1,1,3,1
1085.1,1,3,3
1086.1,3,3,3
1086.2,5,5,5
1087.1,5,3,5
1088.1,2,2,2
1089.1,1,3,1
1090.1,3,3,4
1091.1,3,3,8
1092.1,3,3,1
1092.2,3,3,3
1093.1,3,3,3
1093.2,3,3,3
1094.1,3,3,2
1094.2,3,3,3
1095.1,2,3,3
1096.1,3,3,3
1096.2,3,3,5
1096.3,7,3,7
1097.1,1,1,1
1098.1,3,3,3
1098.2,3,3,3
1099.1,5,5,3
1099.2,3,3,3
1099.3,1,3,1
1100.1,2,2,2
1101.1,1,3,3
1101.2,3,3,3
1102.1,2,2,2
1102.2,1,3,1
1102.3,3,9,9
1103.1,3,3,4
1104.1,1,3,1
1105.1,5,3,3
1105.2,2,3,2
1106.1,1,8,8
1107.1,3,8,3
1108.1,3,3,3
1108.2,3,3,3
1108.3,2,3,2
1110.1,5,5,5
1111.1,3,3,3
1111.2,3,3,3
1111.3,1,3,1
1111.4,3,3,3
1113.1,1,1,1
1114.1,2,2,2
1114.2,9,9,9
1115.1,3,3,2
1116.1,5,6,5
1116.2,5,6,5
1117.1,3,3,3
1118.1,4,4,3
1120.1,5,6,6
1120.2,5,6,6
1120.3,1,3,1
1123.1,3,5,3
1123.2,3,3,6
1124.1,3,3,3
1127.1,4,4,4
1128.1,8,8,8
1129.1,3,3,3
1129.2,3,3,3
1129.3,8,3,8
1130.1,2,3,2
1130.2,3,3,3
1131.1,1,3,1
1132.1,3,3,3
1133.1,2,3,4
1134.1,2,3,4
1135.1,1,3,5
1136.1,3,3,3
1138.1,3,8,8
1139.1,3,3,3
1140.1,2,3,2
1141.1,1,3,1
1142.1,1,3,9
1143.1,4,4,4
1143.2,2,3,2
1144.1,2,2,2
1145.1,1,1,1
1146.1,3,3,3
1147.1,5,3,5
1147.2,3,3,3
1148.1,2,3,2
1149.1,2,2,2
1150.1,2,8,8
1150.2,5,3,3
1151.1,7,4,3
1151.2,3,4,3
1152.1,2,3,3
1153.1,2,2,2
1154.1,2,2,2
1155.1,2,3,3
1157.1,2,2,2
1158.1,3,3,3
1158.2,1,3,1
1158.3,3,3,3
1159.1,1,1,1
1160.1,3,3,5
1161.1,3,3,1
1162.1,4,4,3
1162.2,3,4,3
1163.1,2,3,8
1164.1,1,3,2
1165.1,3,3,3
1165.2,3,3,3
1166.1,3,3,6
1166.2,1,3,1
1167.1,1,3,1
1168.1,1,3,2
1169.1,2,3,2
1169.2,3,3,3
1169.3,5,3,6
1170.1,5,5,5
1170.2,3,3,3
1170.3,3,3,3
1171.1,3,3,3
1172.1,3,3,3
1172.2,3,3,3
1173.1,1,3,1
1173.2,3,3,3
1174.1,2,2,2
1175.1,3,3,3
1175.2,3,3,3
1176.1,3,8,3
1177.1,1,3,1
1178.1,3,3,4
1178.2,4,4,3
1179.1,1,1,1
1179.2,2,3,3
1179.3,8,1,1
1180.1,3,3,3
1181.1,3,3,3
1182.1,3,3,3
1182.2,3,3,3
1182.3,2,2,2
1182.4,1,3,1
1183.1,2,3,2
1183.2,2,2,2
1184.1,1,1,1
1184.2,1,1,1
1184.3,1,1,1
1185.1,3,4,3
1185.2,4,3,4
1186.1,3,3,2
1187.1,3,3,3
1188.1,2,7,7
1189.1,2,2,2
1189.2,1,2,2
1190.1,2,3,2
1191.1,3,3,3
1191.2,3,3,9
1191.3,2,3,4
1194.1,3,3,3
1194.2,3,3,3
1195.1,3,3,3
1195.2,3,3,3
1195.3,3,3,3
1195.4,3,3,2
1196.1,2,2,2
1197.1,5,3,5
1197.2,1,3,2
1198.1,2,3,3
1198.2,1,3,3
1198.3,3,3,5
1199.1,3,3,8
1199.2,4,3,8
1200.1,1,3,1
1201.1,1,1,7
1202.1,1,1,1
1203.1,3,3,3
1203.2,2,2,2
1204.1,3,3,3
1204.2,2,3,6
1212.1,3,3,3
1213.1,1,3,1
1214.1,3,3,3
1214.2,3,3,3
1215.1,2,2,2
1216.1,3,3,3
1217.1,2,3,2
1219.1,1,1,1
1220.1,2,3,2
1220.2,3,3,3
1221.1,5,5,5
1222.1,3,3,3
1223.1,2,2,2
1224.1,5,3,5
1225.1,3,3,1
1226.1,3,3,2
1227.1,8,8,8
1228.1,3,3,3
1228.2,3,3,3
1229.1,3,3,3
1230.1,1,4,3
1231.1,3,7,7
1231.2,2,2,2
1231.3,2,2,2
1232.1,3,3,3
1233.1,1,3,3
1234.1,2,3,5
1235.1,1,3,1
1236.1,3,3,3
1236.2,3,3,4
1236.3,2,2,2
1237.1,3,3,3
1237.2,3,3,3
1238.1,3,3,3
1239.1,3,3,3
1239.2,3,3,3
1239.3,3,3,3
1240.1,2,3,3
1241.1,1,3,9
1242.1,5,3,5
1243.1,4,4,4
1245.1,1,1,1
1246.1,3,3,3
1246.2,2,2,2
1247.1,8,3,8
1248.1,3,3,3
1248.2,3,3,3
1249.1,2,3,3
1250.1,3,3,3
1250.2,5,4,5
1251.1,5,3,7
1252.1,3,3,3
1252.2,3,3,3
1252.3,3,3,3
1252.4,3,3,3
1252.5,3,3,3
1253.1,3,3,3
1254.1,1,2,2
1255.1,2,2,3
1256.1,1,1,1
1257.1,2,3,3
1258.1,3,3,3
1258.2,3,3,3
1258.3,2,3,9
1259.1,3,3,3
1260.1,3,3,3
1261.1,3,3,3
1261.2,3,8,5
1262.1,3,3,3
1262.2,4,3,3
1263.1,5,5,5
1263.2,1,1,1
1264.1,1,2,1
1265.1,3,3,4
1265.2,3,3,3
1266.1,1,3,8
1267.1,3,3,4
1267.2,3,3,4
1267.3,3,3,3
1268.1,3,3,4
1268.2,2,2,2
1269.1,3,3,3
1270.1,1,3,3
1271.1,5,5,5
1271.2,3,3,6
1272.1,1,3,1
1273.1,3,3,3
1274.1,2,3,3
1275.1,3,3,3
1276.1,3,3,1
1276.2,1,1,1
1277.1,3,3,7
1277.2,1,3,1
1278.1,4,4,4
1278.2,3,3,3
1279.1,1,7,7
1280.1,5,3,9
1281.1,1,3,8
1282.1,1,1,1
1283.1,1,3,1
1284.1,1,3,3
1285.1,1,3,1
1286.1,8,3,8
1288.1,2,3,8
1289.1,2,3,6
1290.1,8,8,8
1290.2,3,3,3
1291.1,3,3,3
1292.1,9,3,3
1292.2,1,3,1
1293.1,3,8,3
1294.1,2,2,3
1295.1,1,3,3
1296.1,1,1,1
1297.1,1,3,1
1298.1,2,2,3
1299.1,3,3,2
1300.1,3,3,3
1301.1,1,3,3
1302.1,1,3,1
1303.1,3,3,8
1305.1,2,2,2
1306.1,3,3,3
1306.2,3,3,3
1307.1,1,3,2
1308.1,2,4,3
1309.1,2,2,3
1310.1,8,8,5
1310.2,7,3,3
1311.1,2,3,3
1312.1,4,4,6
1312.2,3,3,3
1313.1,3,3,3
1314.1,2,2,2
1315.1,1,3,4
1316.1,3,3,3
1316.2,3,3,3
1317.1,5,6,5
1317.2,3,3,3
1317.3,2,3,3
1318.1,3,3,3
1318.2,3,3,3
1319.1,2,3,2
1319.2,2,3,1
1322.1,3,3,3
1322.2,3,3,3
1322.3,3,3,3
1323.1,3,3,5
1324.1,2,3,1
1325.1,5,4,4
1326.1,8,8,8
1327.1,2,2,2
1328.1,3,3,8
1329.1,1,1,1
1330.1,1,3,1
1330.2,1,1,1
1331.1,4,4,4
1332.1,5,5,5
1332.2,3,3,3
1333.1,3,3,3
1333.2,3,3,1
1334.1,5,5,5
1335.1,1,3,4
1336.1,2,2,7
1337.1,3,3,3
1337.2,8,3,8
1338.1,5,5,2
1339.1,3,3,3
1339.2,3,3,3
1339.3,3,3,3
1339.4,3,3,3
1340.1,8,3,3
1341.1,1,3,1
1341.2,1,3,1
1342.1,2,3,2
1343.1,3,3,3
1343.2,1,3,2
1344.1,6,3,5
1344.2,6,3,5
1344.3,6,3,5
1344.4,1,3,2
1345.1,1,3,1
1346.1,3,3,3
1347.1,3,3,3
1348.1,1,3,1
1349.1,1,3,3
1349.2,3,3,3
1350.1,1,3,7
1352.1,3,7,9
1355.1,3,3,3
1356.1,5,3,5
1356.2,5,3,3
1356.3,7,4,7
1357.1,3,3,3
1357.2,1,3,3
1358.1,2,5,5
1359.1,3,3,3
1359.2,3,3,3
1359.3,3,3,3
1359.4,3,3,3
1359.5,3,3,3
1359.6,8,8,3
1360.1,1,3,3
1361.1,3,3,4
1362.1,8,3,3
1362.2,2,2,2
1363.1,3,3,3
1364.1,1,1,1
1365.1,3,3,3
1365.2,1,3,1
1366.1,3,3,3
1366.2,2,3,2
1367.1,5,3,3
1368.1,5,3,5
1368.2,5,5,5
1369.1,3,3,3
1372.1,3,3,3
1373.1,4,4,4
1374.1,3,3,2
1375.1,3,3,3
1376.1,2,2,2
1377.1,3,3,3
1377.2,5,3,5
1378.1,1,3,8
1379.1,2,3,4
1380.1,1,3,1
1381.1,3,3,3
1382.1,2,3,1
1382.2,2,2,2
1383.1,4,3,2
1384.1,2,2,2
1385.1,5,5,3
1388.1,2,2,2
1389.1,5,3,5
1389.2,2,2,2
1390.1,4,3,3
1391.1,3,3,3
1392.1,1,3,1
1393.1,3,3,8
1394.1,3,3,3
1394.2,3,3,3
1395.1,3,3,2
1395.2,3,3,3
1397.1,3,3,3
1399.1,2,2,2
1399.2,3,3,7
1400.1,1,3,1
1401.1,1,3,1
1402.1,3,3,3
1402.2,3,3,3
1402.3,1,3,3
1403.1,3,3,3
1403.2,3,3,3
1403.3,3,3,3
1403.4,3,3,3
1403.5,3,3,3
1403.6,2,3,2
1404.1,4,3,2
1405.1,3,3,8
1407.1,1,3,1
1408.1,2,3,5
1409.1,3,3,3
1411.1,9,3,9
1412.1,3,3,3
1412.2,3,3,3
1412.3,3,3,3
1412.4,3,3,3
1412.5,3,3,3
1412.6,3,3,3
1412.7,3,3,3
1412.8,2,4,2
1413.1,3,3,8
1413.2,8,8,8
1413.3,3,3,3
1414.1,3,3,8
1415.1,3,3,3
1416.1,3,3,3
1417.1,3,1,3
1417.2,1,1,1
1418.1,5,5,5
1420.1,4,4,1
1420.2,4,4,1
1420.3,4,4,1
1421.1,5,5,5
1421.2,5,5,5
1421.3,5,5,5
1422.1,2,3,3
1423.1,1,1,3
1423.2,1,1,1
1424.1,4,4,4
1424.2,4,3,3
1425.1,2,2,2
1426.1,3,3,3
1427.1,2,2,2
1428.1,2,3,3
1429.1,3,3,8
1430.1,2,3,4
1431.1,2,2,2
1432.1,2,3,7
1434.1,5,3,3
1434.2,3,3,3
1436.1,8,3,8
1437.1,3,3,3
1437.2,2,2,2
1438.1,3,3,8
1438.2,3,3,3
1439.1,3,3,3
1439.2,2,2,2
1439.3,3,3,3
1440.1,8,3,2
1440.2,8,8,3
1441.1,5,3,5
1442.1,1,3,1
1443.1,3,3,3
1444.1,1,3,1
1444.2,1,3,3
1445.1,3,3,3
1445.2,3,3,3
1445.3,3,3,8
1446.1,3,3,3
1446.2,2,3,3
1447.1,2,2,2
1448.1,3,3,3
1448.2,3,3,5
1449.1,2,2,8
1450.1,3,3,7
1450.2,1,3,1
1451.1,2,2,2
1452.1,2,2,2
1453.1,3,3,8
1454.1,3,3,3
1455.1,3,3,3
1455.2,3,3,3
1456.1,3,3,3
1456.2,3,3,3
1457.1,1,3,1
1458.1,1,3,1
1459.1,2,2,2
1460.1,2,4,2
1461.1,1,3,5
1462.1,3,3,3
1463.1,3,3,3
1463.2,3,3,3
1466.1,2,2,2
1466.2,3,3,3
1466.3,3,3,3
1466.4,3,3,3
1468.1,1,3,1
1469.1,2,3,2
1470.1,4,3,5
1471.1,3,3,5
1472.1,3,3,3
1472.2,3,3,3
1472.3,4,4,3
1473.1,3,8,5
1475.1,8,8,8
1476.1,8,8,3
1478.1,2,2,2
1479.1,2,2,2
1480.1,1,3,1
1481.1,1,1,1
1482.1,1,3,1
1483.1,2,3,2
1483.2,2,3,2
1483.3,1,3,1
1484.1,1,3,1
1485.1,8,8,8
1486.1,3,3,3
1486.2,3,3,3
1486.3,4,4,4
1486.4,2,3,1
1487.1,8,8,8
1487.2,1,3,1
1488.1,2,2,2
1489.1,3,3,3
1489.2,2,3,2
1490.1,1,3,1
1491.1,8,8,8
1492.1,9,9,3
1492.2,3,3,9
1493.1,8,8,2
1494.1,2,3,3
1495.1,2,3,8
1496.1,2,3,2
1497.1,3,3,3
1497.2,3,3,3
1498.1,3,3,4
1498.2,5,5,5
1499.1,1,3,5
1500.1,2,2,2
1501.1,8,3,8
1502.1,1,3,9
1503.1,2,3,8
1503.2,3,3,8
1504.1,5,3,5
1505.1,2,3,2
1506.1,3,3,3
1506.2,2,2,2
1508.1,1,1,1
1509.1,9,3,9
1509.2,9,3,9
1509.3,7,3,9
1509.4,3,3,3
1509.5,7,3,9
1510.1,8,3,8
1511.1,3,3,3
1511.2,3,3,3
1512.1,2,3,2
1512.2,3,3,3
1512.3,3,3,3
1514.1,2,2,3
1515.1,2,2,2
1516.1,3,3,4
1517.1,5,3,5
1518.1,8,8,3
1519.1,3,3,3
1519.2,3,3,3
1519.3,3,3,6
1519.4,5,3,3
1519.5,3,3,3
1519.6,2,3,3
1520.1,1,3,1
1521.1,2,2,4
1522.1,3,3,3
1522.2,8,3,8
1523.1,3,3,3
1523.2,4,3,3
1524.1,2,2,2
1525.1,2,2,2
1526.1,8,8,3
1526.2,3,3,4
1527.1,2,2,2
1528.1,3,3,3
1528.2,4,4,4
1529.1,2,2,2
1530.1,2,2,2
1531.1,3,3,3
1532.1,1,3,1
1533.1,2,2,2
1534.1,8,8,5
1534.2,3,3,3
1535.1,2,3,2
1536.1,4,3,4
1537.1,3,3,1
1538.1,5,3,5
1540.1,8,3,8
1541.1,3,3,5
1541.2,5,3,5
1541.3,3,3,5
1541.4,5,3,5
1542.1,3,3,3
1542.2,3,3,3
1543.1,2,2,2
1543.2,2,3,2
1544.1,2,3,2
1545.1,3,3,2
1545.2,7,3,3
1545.3,3,3,3
1545.4,3,3,4
1546.1,3,3,4
1547.1,8,3,5
1547.2,1,1,2
1549.1,3,3,3
1550.1,5,5,3
1550.2,5,5,5
1552.1,2,2,2
1553.1,3,3,3
1554.1,1,1,1
1554.2,3,3,3
1555.1,2,2,2
1555.2,2,2,2
1555.3,2,2,2
1556.1,3,3,3
1556.2,2,3,3
1556.3,8,8,5
1556.4,3,3,3
1557.1,3,3,9
1557.2,9,3,3
1557.3,4,3,2
1558.1,9,9,3
1559.1,8,3,3
1560.1,6,3,6
1561.1,3,3,3
1561.2,4,4,4
1562.1,1,3,1
1562.2,1,1,3
1563.1,7,3,5
1564.1,1,3,1
1565.1,8,8,3
1567.1,2,2,2
1568.1,3,3,3
1568.2,3,3,3
1568.3,1,1,1
1569.1,1,3,8
1571.1,3,3,1
1571.2,3,3,3
1572.1,3,3,3
1572.2,3,3,3
1573.1,3,3,3
1573.2,3,3,3
1573.3,3,3,3
1574.1,3,3,3
1574.2,3,3,3
1574.3,5,8,5
1575.1,2,3,3
1576.1,3,3,3
1577.1,3,3,3
